name,description,latitude,longitude
?Akisq&apos;nuk First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn604.html"">ACP Community Profile</a>]]>",50.466,-115.978
Adams Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn684.html"">ACP Community Profile</a>]]>",50.819,-119.734
Ahousaht,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn659.html"">ACP Community Profile</a>]]>",49.281,-126.062
Aitchelitz,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn558.html"">ACP Community Profile</a>]]>",49.149,-121.992
Alexandria,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn709.html"">ACP Community Profile</a>]]>",52.574,-122.485
Alexis Creek,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn710.html"">ACP Community Profile</a>]]>",52.138,-123.961
Ashcroft,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn685.html"">ACP Community Profile</a>]]>",50.725,-121.276
Beecher Bay,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn640.html"">ACP Community Profile</a>]]>",48.341,-123.605
Blueberry River First Nations,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn547.html"">ACP Community Profile</a>]]>",56.701,-121.096
Bonaparte,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn686.html"">ACP Community Profile</a>]]>",50.836,-121.376
Boothroyd,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn700.html"">ACP Community Profile</a>]]>",49.961,-121.484
Boston Bar First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn701.html"">ACP Community Profile</a>]]>",49.883,-121.467
Bridge River,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn590.html"">ACP Community Profile</a>]]>",50.814,-122.083
Burns Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn619.html"">ACP Community Profile</a>]]>",54.233,-125.765
Burrard,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn549.html"">ACP Community Profile</a>]]>",49.309,-122.981
Campbell River,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn622.html"">ACP Community Profile</a>]]>",50.041,-125.257
Canim Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn713.html"">ACP Community Profile</a>]]>",51.776,-120.988
Canoe Creek,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn723.html"">ACP Community Profile</a>]]>",51.584,-122.239
Cape Mudge,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn623.html"">ACP Community Profile</a>]]>",50.018,-125.293
Cayoose Creek,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn591.html"">ACP Community Profile</a>]]>",50.672,-121.935
Chawathil,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn583.html"">ACP Community Profile</a>]]>",49.379,-121.555
Cheam,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn584.html"">ACP Community Profile</a>]]>",49.197,-121.772
Chehalis,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn559.html"">ACP Community Profile</a>]]>",49.295,-121.908
Chemainus First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn641.html"">ACP Community Profile</a>]]>",49.009,-123.787
Cheslatta Carrier Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn620.html"">ACP Community Profile</a>]]>",53.825,-125.845
Coldwater,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn693.html"">ACP Community Profile</a>]]>",50.035,-120.854
Comox,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn624.html"">ACP Community Profile</a>]]>",49.681,-124.965
Cook&apos;s Ferry,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn694.html"">ACP Community Profile</a>]]>",50.423,-121.318
Cowichan,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn642.html"">ACP Community Profile</a>]]>",48.768,-123.698
Da&apos;naxda&apos;xw First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn635.html"">ACP Community Profile</a>]]>",51.001,-125.558
Ditidaht,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn662.html"">ACP Community Profile</a>]]>",48.809,-124.671
Doig River,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn548.html"">ACP Community Profile</a>]]>",56.573,-120.491
Douglas,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn561.html"">ACP Community Profile</a>]]>",49.45,-122.1
Ehattesaht,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn634.html"">ACP Community Profile</a>]]>",49.873,-126.977
Esketemc,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn711.html"">ACP Community Profile</a>]]>",51.789,-122.243
Esquimalt,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn644.html"">ACP Community Profile</a>]]>",48.443,-123.412
Fort Nelson First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn543.html"">ACP Community Profile</a>]]>",58.794,-122.651
Gitanmaax,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn531.html"">ACP Community Profile</a>]]>",55.255,-127.671
Gitanyow,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn537.html"">ACP Community Profile</a>]]>",55.258,-128.059
Gitsegukla,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn535.html"">ACP Community Profile</a>]]>",55.097,-127.829
Gitwangak,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn536.html"">ACP Community Profile</a>]]>",55.099,-128.078
Gitxaala Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn672.html"">ACP Community Profile</a>]]>",53.774,-130.439
Glen Vowell,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn533.html"">ACP Community Profile</a>]]>",55.308,-127.683
Gwa&apos;Sala-Nakwaxda&apos;xw,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn724.html"">ACP Community Profile</a>]]>",50.733,-127.498
