name,description,latitude,longitude
Barren Lands,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn308.html"">ACP Community Profile</a>]]>",57.935,-101.733
Berens River,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn266.html"">ACP Community Profile</a>]]>",52.349,-97.025
Birdtail Sioux,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn284.html"">ACP Community Profile</a>]]>",50.265,-101.163
Bloodvein,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn267.html"">ACP Community Profile</a>]]>",51.777,-96.695
Brokenhead Ojibway Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn261.html"">ACP Community Profile</a>]]>",50.345,-96.604
Buffalo Point First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn265.html"">ACP Community Profile</a>]]>",49.016,-95.264
Bunibonibee Cree Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn301.html"">ACP Community Profile</a>]]>",54.949,-95.261
Canupawakpa Dakota First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn289.html"">ACP Community Profile</a>]]>",49.373,-100.556
Chemawawin Cree Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn309.html"">ACP Community Profile</a>]]>",53.107,-99.822
Cross Lake First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn276.html"">ACP Community Profile</a>]]>",54.622,-97.769
Dakota Plains,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn288.html"">ACP Community Profile</a>]]>",49.811,-98.508
Dakota Tipi,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn295.html"">ACP Community Profile</a>]]>",49.946,-98.372
Dauphin River,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn316.html"">ACP Community Profile</a>]]>",51.963,-98.071
Ebb and Flow,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn280.html"">ACP Community Profile</a>]]>",51.049,-99.015
Fisher River,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn264.html"">ACP Community Profile</a>]]>",51.432,-97.353
Fort Alexander,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn262.html"">ACP Community Profile</a>]]>",50.603,-96.336
Fox Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn305.html"">ACP Community Profile</a>]]>",56.3291,-94.6671
Gamblers,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn294.html"">ACP Community Profile</a>]]>",50.595,-101.382
Garden Hill First Nations,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn297.html"">ACP Community Profile</a>]]>",53.857,-94.659
God&apos;s Lake First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn296.html"">ACP Community Profile</a>]]>",54.663,-94.141
Grand Rapids First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn310.html"">ACP Community Profile</a>]]>",53.172,-99.273
Hollow Water,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn263.html"">ACP Community Profile</a>]]>",51.161,-96.272
Keeseekoowenin,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn286.html"">ACP Community Profile</a>]]>",50.549,-100.299
Kinonjeoshtegon First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn268.html"">ACP Community Profile</a>]]>",51.903,-97.308
Lake Manitoba,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn271.html"">ACP Community Profile</a>]]>",50.895,-98.535
Lake St. Martin,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn275.html"">ACP Community Profile</a>]]>",51.748,-98.451
Little Black River,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn260.html"">ACP Community Profile</a>]]>",50.826,-96.323
Little Grand Rapids,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn270.html"">ACP Community Profile</a>]]>",52.044,-95.488
Little Saskatchewan,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn274.html"">ACP Community Profile</a>]]>",51.679,-98.581
Long Plain,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn287.html"">ACP Community Profile</a>]]>",49.857,-98.486
Manto Sipi Cree Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn302.html"">ACP Community Profile</a>]]>",54.839,-94.063
Marcel Colomb First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn328.html"">ACP Community Profile</a>]]>",56.495,-100.342
Mathias Colomb,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn311.html"">ACP Community Profile</a>]]>",55.732,-101.316
Mosakahiken Cree Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn312.html"">ACP Community Profile</a>]]>",53.694,-100.331
Nisichawayasihk Cree Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn313.html"">ACP Community Profile</a>]]>",55.789,-98.853
Northlands,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn317.html"">ACP Community Profile</a>]]>",58.627,-101.488
Norway House Cree Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn278.html"">ACP Community Profile</a>]]>",53.984,-97.809
O-Chi-Chak-Ko-Sipi First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn279.html"">ACP Community Profile</a>]]>",51.509,-99.229
Opaskwayak Cree Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn315.html"">ACP Community Profile</a>]]>",53.816,-101.252
Pauingassi First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn327.html"">ACP Community Profile</a>]]>",52.1555,-95.3789
Peguis,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn269.html"">ACP Community Profile</a>]]>",51.283,-97.604
Pinaymootang First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn272.html"">ACP Community Profile</a>]]>",51.598,-98.699
Pine Creek,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn282.html"">ACP Community Profile</a>]]>",52.059,-100.206
Poplar River First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn277.html"">ACP Community Profile</a>]]>",52.996,-97.283
Red Sucker Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn300.html"">ACP Community Profile</a>]]>",54.164,-93.557
Rolling River,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn291.html"">ACP Community Profile</a>]]>",50.478,-100.001
Roseau River Anishinabe First Nation Government,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn273.html"">ACP Community Profile</a>]]>",49.159,-97.272
