name,description,latitude,longitude
Buctouche,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn4.html"">ACP Community Profile</a>]]>",46.4525,-64.7586
Burnt Church,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn5.html"">ACP Community Profile</a>]]>",47.2001,-65.1499
Eel Ground,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn7.html"">ACP Community Profile</a>]]>",46.9875,-65.6342
Eel River Bar First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn8.html"">ACP Community Profile</a>]]>",48.0327,-66.3785
Elsipogtog First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn3.html"">ACP Community Profile</a>]]>",46.5857,-64.9858
Fort Folly,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn9.html"">ACP Community Profile</a>]]>",45.8921,-64.4955
Indian Island,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn10.html"">ACP Community Profile</a>]]>",46.6892,-64.7911
Kingsclear,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn11.html"">ACP Community Profile</a>]]>",45.9248,-66.8349
Madawaska Maliseet First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn6.html"">ACP Community Profile</a>]]>",47.3665,-68.3035
Metepenagiag Mi&apos;kmaq Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn14.html"">ACP Community Profile</a>]]>",46.9322,-65.8581
Oromocto,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn12.html"">ACP Community Profile</a>]]>",45.8515,-66.4635
Pabineau,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn13.html"">ACP Community Profile</a>]]>",47.5322,-65.6693
Saint Mary&apos;s,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn15.html"">ACP Community Profile</a>]]>",45.9965,-66.6112
Tobique,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn16.html"">ACP Community Profile</a>]]>",46.7781,-67.7101
Woodstock,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn17.html"">ACP Community Profile</a>]]>",46.1032,-67.6078
