name,description,latitude,longitude
Aquadeo,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4717005.html"">ACP Community Profile</a>]]>",53.141,-108.421
Beauval,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4718033.html"">ACP Community Profile</a>]]>",55.1502,-107.6108
Buffalo Narrows,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4718070.html"">ACP Community Profile</a>]]>",55.8644,-108.4804
Chitek Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4716077.html"">ACP Community Profile</a>]]>",53.7532,-107.7462
Cochin,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4717002.html"">ACP Community Profile</a>]]>",53.0785,-108.3434
Cole Bay,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4718028.html"">ACP Community Profile</a>]]>",55.0992,-108.3236
Cumberland House,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4718005.html"">ACP Community Profile</a>]]>",53.9551,-102.2673
Debden,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4716054.html"">ACP Community Profile</a>]]>",53.5227,-106.8775
Doré Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4718023.html"">ACP Community Profile</a>]]>",54.6207,-107.3706
Duck Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4715062.html"">ACP Community Profile</a>]]>",52.8126,-106.2266
Duff,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4705068.html"">ACP Community Profile</a>]]>",50.8735,-103.0917
Gerald,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4705044.html"">ACP Community Profile</a>]]>",50.6666,-101.7937
Green Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4718021.html"">ACP Community Profile</a>]]>",54.2909,-107.7872
Jans Bay,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4718030.html"">ACP Community Profile</a>]]>",55.1451,-108.1229
La Loche,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4718074.html"">ACP Community Profile</a>]]>",56.4848,-109.4321
La Ronge,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4718041.html"">ACP Community Profile</a>]]>",55.1018,-105.3009
Lebret,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4706049.html"">ACP Community Profile</a>]]>",50.7557,-103.7039
Meadow Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4717052.html"">ACP Community Profile</a>]]>",54.1331,-108.4281
Michel Village,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4718072.html"">ACP Community Profile</a>]]>",56.0099,-109.1121
Patuanak,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4718069.html"">ACP Community Profile</a>]]>",55.891,-107.701
Pinehouse,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4718065.html"">ACP Community Profile</a>]]>",55.5171,-106.5885
Shell Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4716057.html"">ACP Community Profile</a>]]>",53.3005,-107.0505
St. Louis,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4715059.html"">ACP Community Profile</a>]]>",52.9189,-105.8082
Timber Bay,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4718012.html"">ACP Community Profile</a>]]>",54.1133,-105.6999
Turnor Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4718075.html"">ACP Community Profile</a>]]>",56.4772,-108.693
Vawn,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4717009.html"">ACP Community Profile</a>]]>",53.1069,-108.6671
Weldon,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4715072.html"">ACP Community Profile</a>]]>",53.0083,-105.1405
Weyakwin,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4718015.html"">ACP Community Profile</a>]]>",54.4249,-105.7311
Île-à-la-Crosse,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/me4718067.html"">ACP Community Profile</a>]]>",55.4473,-107.8923
