name,description,latitude,longitude
Alexander,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn438.html"">ACP Community Profile</a>]]>",53.809,-113.954
Alexis Nakota Sioux Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn437.html"">ACP Community Profile</a>]]>",53.751,-114.513
Athabasca Chipewyan First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn463.html"">ACP Community Profile</a>]]>",58.509,-110.949
Bearspaw,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn473.html"">ACP Community Profile</a>]]>",52.391,-116.244
Beaver First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn445.html"">ACP Community Profile</a>]]>",58.468,-116.571
Beaver Lake Cree Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn460.html"">ACP Community Profile</a>]]>",54.669,-111.871
Bigstone Cree Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn458.html"">ACP Community Profile</a>]]>",55.908,-113.889
Blood,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn435.html"">ACP Community Profile</a>]]>",49.501,-113.167
Chiniki,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn433.html"">ACP Community Profile</a>]]>",52.391,-116.242
Chipewyan Prairie First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn470.html"">ACP Community Profile</a>]]>",55.926,-110.717
Cold Lake First Nations,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn464.html"">ACP Community Profile</a>]]>",54.296,-110.291
Dene Tha&apos;,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn448.html"">ACP Community Profile</a>]]>",58.751,-118.727
