name,description,latitude,longitude
Acho Dene Koe,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn758.html"">ACP Community Profile</a>]]>",60.2363,-123.4367
Aklavik,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn755.html"">ACP Community Profile</a>]]>",68.2122,-135.0032
Behdzi Ahda&quot; First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn771.html"">ACP Community Profile</a>]]>",67.0383,-126.0953
Dechi Laot&apos;i First Nations,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn774.html"">ACP Community Profile</a>]]>",64.1112,-114.2125
Deh Gah Gotie Dene Council,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn760.html"">ACP Community Profile</a>]]>",61.3473,-117.6332
Deline First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn754.html"">ACP Community Profile</a>]]>",65.1964,-123.4231
Deninu K&apos;ue First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn762.html"">ACP Community Profile</a>]]>",61.1652,-113.6305
Dog Rib Rae,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn765.html"">ACP Community Profile</a>]]>",62.8349,-116.0356
Fort Good Hope,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn752.html"">ACP Community Profile</a>]]>",66.2644,-128.6163
Gameti First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn773.html"">ACP Community Profile</a>]]>",64.0655,-116.9999
Gwichya Gwich&apos;in,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn753.html"">ACP Community Profile</a>]]>",67.4465,-133.7311
Inuvik Native,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn780.html"">ACP Community Profile</a>]]>",68.3658,-133.7146
Jean Marie River First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn770.html"">ACP Community Profile</a>]]>",61.4915,-120.6495
K&apos;atlodeeche First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn761.html"">ACP Community Profile</a>]]>",60.8415,-115.7616
Ka&apos;a&apos;gee Tu First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn768.html"">ACP Community Profile</a>]]>",60.9367,-117.4178
Liidlii Kue First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn757.html"">ACP Community Profile</a>]]>",61.8348,-121.3283
Lutsel K&apos;e Dene First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn764.html"">ACP Community Profile</a>]]>",62.4077,-110.6984
Nahanni Butte,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn766.html"">ACP Community Profile</a>]]>",61.0561,-123.3662
Pehdzeh Ki First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn756.html"">ACP Community Profile</a>]]>",63.2831,-123.5665
Salt River First Nation #195,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn759.html"">ACP Community Profile</a>]]>",60.1083,-112.2382
Sambaa K&apos;e (Trout Lake) Dene,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn767.html"">ACP Community Profile</a>]]>",60.4554,-121.2015
Tetlit Gwich&apos;in,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn751.html"">ACP Community Profile</a>]]>",67.4296,-134.8398
Tulita Dene,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn750.html"">ACP Community Profile</a>]]>",64.9131,-125.5412
West Point First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn772.html"">ACP Community Profile</a>]]>",60.8552,-115.7556
Wha Ti First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn769.html"">ACP Community Profile</a>]]>",63.1599,-117.2535
Yellowknives Dene First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn763.html"">ACP Community Profile</a>]]>",62.4495,-114.3972
