name,description,latitude,longitude
Acadia,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn18.html"">ACP Community Profile</a>]]>",43.8367,-66.0825
Annapolis Valley,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn20.html"">ACP Community Profile</a>]]>",45.0665,-64.6471
Bear River,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn21.html"">ACP Community Profile</a>]]>",44.5494,-65.6236
Chapel Island First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn22.html"">ACP Community Profile</a>]]>",45.7061,-60.7725
Eskasoni,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn23.html"">ACP Community Profile</a>]]>",45.9461,-60.6251
Glooscap First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn30.html"">ACP Community Profile</a>]]>",45.0424,-64.2369
Membertou,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn26.html"">ACP Community Profile</a>]]>",46.1193,-60.1989
Millbrook,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn27.html"">ACP Community Profile</a>]]>",45.3315,-63.2982
Paq&apos;tnkek First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn19.html"">ACP Community Profile</a>]]>",45.5981,-61.7367
Pictou Landing,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn24.html"">ACP Community Profile</a>]]>",45.6695,-62.6529
Shubenacadie,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn25.html"">ACP Community Profile</a>]]>",45.0874,-63.4895
Wagmatcook,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn28.html"">ACP Community Profile</a>]]>",46.0749,-60.9916
Waycobah First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn29.html"">ACP Community Profile</a>]]>",45.9802,-61.1311
