name,description,latitude,longitude
Arctic Bay,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in6204018.html"">ACP Community Profile</a>]]>",73.0389,-85.1881
Arviat,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in6205015.html"">ACP Community Profile</a>]]>",61.1117,-94.0589
Baker Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in6205023.html"">ACP Community Profile</a>]]>",64.3232,-96.0327
Cambridge Bay,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in6208073.html"">ACP Community Profile</a>]]>",69.1276,-105.0832
Cape Dorset,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in6204007.html"">ACP Community Profile</a>]]>",64.2262,-76.5326
Chesterfield Inlet,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in6205019.html"">ACP Community Profile</a>]]>",63.3479,-90.7035
Clyde River,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in6204015.html"">ACP Community Profile</a>]]>",70.4625,-68.6289
Coral Harbour,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in6205014.html"">ACP Community Profile</a>]]>",64.1375,-83.1811
Gjoa Haven,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in6208081.html"">ACP Community Profile</a>]]>",68.6286,-95.8459
Grise Fiord,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in6204025.html"">ACP Community Profile</a>]]>",76.4251,-82.9566
Hall Beach,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in6204011.html"">ACP Community Profile</a>]]>",68.7654,-81.2315
Igloolik,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in6204012.html"">ACP Community Profile</a>]]>",69.3713,-81.8141
Iqaluit,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in6204003.html"">ACP Community Profile</a>]]>",63.7497,-68.5505
Kimmirut,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in6204005.html"">ACP Community Profile</a>]]>",62.8479,-69.8717
Kugluktuk,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in6208059.html"">ACP Community Profile</a>]]>",67.8264,-115.0968
Pangnirtung,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in6204009.html"">ACP Community Profile</a>]]>",66.1278,-65.7032
Pelly Bay or Kugaaruk,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in6208047.html"">ACP Community Profile</a>]]>",68.5335,-89.824
Pond Inlet,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in6204020.html"">ACP Community Profile</a>]]>",72.6846,-77.9666
Qikiqtarjuaq,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in6204010.html"">ACP Community Profile</a>]]>",67.5248,-63.7666
Rankin Inlet,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in6205017.html"">ACP Community Profile</a>]]>",62.8112,-92.0875
Repulse Bay,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in6205027.html"">ACP Community Profile</a>]]>",66.5314,-86.2416
Resolute,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in6204022.html"">ACP Community Profile</a>]]>",74.6868,-94.9101
Sanikiluaq,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in6204001.html"">ACP Community Profile</a>]]>",56.4994,-79.2015
Taloyoak,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in6208087.html"">ACP Community Profile</a>]]>",69.5429,-93.5257
Whale Cove,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in6205016.html"">ACP Community Profile</a>]]>",62.1751,-92.5866
