name,description,name,description,latitude,longitude
Aamjiwnaang,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn172.html"">ACP Community Profile</a>]]>",Aamjiwnaang,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn172.html"">ACP Community Profile</a>]]>",42.922,-82.417
Albany,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn142.html"">ACP Community Profile</a>]]>",Albany,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn142.html"">ACP Community Profile</a>]]>",52.251,-81.501
Alderville First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn160.html"">ACP Community Profile</a>]]>",Alderville First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn160.html"">ACP Community Profile</a>]]>",44.176,-78.082
Algonquins of Pikwakanagan,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn163.html"">ACP Community Profile</a>]]>",Algonquins of Pikwakanagan,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn163.html"">ACP Community Profile</a>]]>",45.551,-77.222
Animbiigoo Zaagi&apos;igan Anishinaabek,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn194.html"">ACP Community Profile</a>]]>",Animbiigoo Zaagi&apos;igan Anishinaabek,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn194.html"">ACP Community Profile</a>]]>",49.604,-87.961
Anishinabe of Wauzhushk Onigum,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn153.html"">ACP Community Profile</a>]]>",Anishinabe of Wauzhushk Onigum,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn153.html"">ACP Community Profile</a>]]>",49.741,-94.427
Anishnaabeg of Naongashiing,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn125.html"">ACP Community Profile</a>]]>",Anishnaabeg of Naongashiing,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn125.html"">ACP Community Profile</a>]]>",49.122,-94.308
Aroland,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn242.html"">ACP Community Profile</a>]]>",Aroland,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn242.html"">ACP Community Profile</a>]]>",50.2175,-86.9624
Attawapiskat,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn143.html"">ACP Community Profile</a>]]>",Attawapiskat,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn143.html"">ACP Community Profile</a>]]>",52.939,-82.294
Aundeck-Omni-Kaning,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn180.html"">ACP Community Profile</a>]]>",Aundeck-Omni-Kaning,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn180.html"">ACP Community Profile</a>]]>",45.958,-81.999
Batchewana First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn198.html"">ACP Community Profile</a>]]>",Batchewana First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn198.html"">ACP Community Profile</a>]]>",46.557,-84.249
Bay of Quinte Mohawk,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn244.html"">ACP Community Profile</a>]]>",Bay of Quinte Mohawk,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn244.html"">ACP Community Profile</a>]]>",44.178,-77.165
Bearfoot Onondaga,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn248.html"">ACP Community Profile</a>]]>",Bearfoot Onondaga,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn248.html"">ACP Community Profile</a>]]>",43.0221,-80.0478
Bearskin Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn207.html"">ACP Community Profile</a>]]>",Bearskin Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn207.html"">ACP Community Profile</a>]]>",53.916,-90.972
Beausoleil,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn141.html"">ACP Community Profile</a>]]>",Beausoleil,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn141.html"">ACP Community Profile</a>]]>",44.834,-80.202
Big Grassy,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn124.html"">ACP Community Profile</a>]]>",Big Grassy,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn124.html"">ACP Community Profile</a>]]>",49.054,-94.307
Biinjitiwaabik Zaaging Anishinaabek,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn197.html"">ACP Community Profile</a>]]>",Biinjitiwaabik Zaaging Anishinaabek,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn197.html"">ACP Community Profile</a>]]>",49.444,-88.131
Brunswick House,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn228.html"">ACP Community Profile</a>]]>",Brunswick House,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn228.html"">ACP Community Profile</a>]]>",47.833,-83.331
Caldwell,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn165.html"">ACP Community Profile</a>]]>",Caldwell,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn165.html"">ACP Community Profile</a>]]>",42.3362,-81.9909
Cat Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn216.html"">ACP Community Profile</a>]]>",Cat Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn216.html"">ACP Community Profile</a>]]>",51.725,-91.813
Chapleau Cree First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn221.html"">ACP Community Profile</a>]]>",Chapleau Cree First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn221.html"">ACP Community Profile</a>]]>",47.857,-83.373
Chapleau Ojibway,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn229.html"">ACP Community Profile</a>]]>",Chapleau Ojibway,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn229.html"">ACP Community Profile</a>]]>",47.807,-83.394
Chippewas of Georgina Island,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn138.html"">ACP Community Profile</a>]]>",Chippewas of Georgina Island,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn138.html"">ACP Community Profile</a>]]>",44.375,-79.294
