name,description,latitude,longitude
Abnakis de Wlinak,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn71.html"">ACP Community Profile</a>]]>",46.324,-72.422
Algonquins of Barriere Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn74.html"">ACP Community Profile</a>]]>",47.254,-76.715
Atikamekw d&apos;Opitciwan,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn79.html"">ACP Community Profile</a>]]>",48.667,-74.949
Betsiamites,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn85.html"">ACP Community Profile</a>]]>",48.943,-68.641
Communaut anicinape de Kitcisakik,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn62.html"">ACP Community Profile</a>]]>",47.4631,-77.6051
Conseil de la Premire Nation Abitibiwinni,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn55.html"">ACP Community Profile</a>]]>",48.599,-78.121
Conseil des Atikamekw de Wemotaci,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn77.html"">ACP Community Profile</a>]]>",47.916,-73.794
Cree Nation of Chisasibi,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn58.html"">ACP Community Profile</a>]]>",53.7891,-78.9305
Cree Nation of Mistissini,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn75.html"">ACP Community Profile</a>]]>",50.564,-73.666
Cree Nation of Nemaska,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn59.html"">ACP Community Profile</a>]]>",51.3,-76.92
Cree Nation of Wemindji,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn60.html"">ACP Community Profile</a>]]>",52.6168,-78.6989
Eagle Village First Nation - Kipawa,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn65.html"">ACP Community Profile</a>]]>",46.787,-78.986
Eastmain,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn57.html"">ACP Community Profile</a>]]>",52.234,-78.518
Innu Takuaikan Uashat Mak Mani-Utenam,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn80.html"">ACP Community Profile</a>]]>",50.211,-66.187
Innue Essipit,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn86.html"">ACP Community Profile</a>]]>",48.342,-69.416
