name,description,latitude,longitude
Akulivik,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in2499125.html"">ACP Community Profile</a>]]>",60.8595,-77.9898
Aupaluk,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in2499105.html"">ACP Community Profile</a>]]>",59.3121,-69.4848
Inukjuak,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in2499085.html"">ACP Community Profile</a>]]>",58.4559,-78.1182
Ivujivik,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in2499140.html"">ACP Community Profile</a>]]>",62.4138,-77.9288
Kangiqsualujjuaq,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in2499090.html"">ACP Community Profile</a>]]>",58.6899,-65.9697
Kangiqsujuaq,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in2499130.html"">ACP Community Profile</a>]]>",61.5952,-71.9581
Kangirsuk,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in2499110.html"">ACP Community Profile</a>]]>",60.0283,-70.0433
Kuujjuaq,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in2499095.html"">ACP Community Profile</a>]]>",58.1209,-68.4185
Kuujjuarapik,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in2499075.html"">ACP Community Profile</a>]]>",55.2977,-77.7377
Puvirnituq/Povungnituk,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in2499120.html"">ACP Community Profile</a>]]>",60.0455,-77.4732
Quaqtaq,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in2499115.html"">ACP Community Profile</a>]]>",61.0441,-69.6308
Salluit,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in2499135.html"">ACP Community Profile</a>]]>",62.2007,-75.6426
Tasiujaq,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in2499100.html"">ACP Community Profile</a>]]>",58.7023,-69.8199
Umiujaq,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/in2499080.html"">ACP Community Profile</a>]]>",56.5418,-76.4951
