name,description,latitude,longitude
Ahtahkakoop,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn406.html"">ACP Community Profile</a>]]>",53.385,-106.884
Beardy&apos;s and Okemasis,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn369.html"">ACP Community Profile</a>]]>",52.814,-106.358
Big Island Lake Cree Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn399.html"">ACP Community Profile</a>]]>",54.384,-109.667
Big River,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn404.html"">ACP Community Profile</a>]]>",53.578,-107.151
Birch Narrows First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn403.html"">ACP Community Profile</a>]]>",56.467,-108.691
Black Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn359.html"">ACP Community Profile</a>]]>",59.097,-105.714
Buffalo River Dene Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn398.html"">ACP Community Profile</a>]]>",55.917,-109.011
Canoe Lake Cree First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn394.html"">ACP Community Profile</a>]]>",55.107,-108.231
Carry The Kettle,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn378.html"">ACP Community Profile</a>]]>",50.341,-103.484
Clearwater River Dene,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn401.html"">ACP Community Profile</a>]]>",56.538,-109.442
Cote First Nation 366,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn366.html"">ACP Community Profile</a>]]>",51.621,-101.885
Cowessess,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn361.html"">ACP Community Profile</a>]]>",50.538,-102.681
Cumberland House Cree Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn350.html"">ACP Community Profile</a>]]>",53.943,-102.254
Day Star,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn389.html"">ACP Community Profile</a>]]>",51.536,-104.237
English River First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn400.html"">ACP Community Profile</a>]]>",55.915,-107.731
Fishing Lake First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn390.html"">ACP Community Profile</a>]]>",51.844,-103.657
Flying Dust First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn395.html"">ACP Community Profile</a>]]>",54.157,-108.402
Fond du Lac,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn351.html"">ACP Community Profile</a>]]>",59.362,-106.979
Gordon,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn391.html"">ACP Community Profile</a>]]>",51.258,-104.258
Hatchet Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn352.html"">ACP Community Profile</a>]]>",58.195,-103.003
Island Lake First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn397.html"">ACP Community Profile</a>]]>",54.048,-109.619
James Smith,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn370.html"">ACP Community Profile</a>]]>",53.121,-104.874
Kahkewistahaw,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn362.html"">ACP Community Profile</a>]]>",50.497,-102.564
Kawacatoose,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn393.html"">ACP Community Profile</a>]]>",51.487,-104.389
Keeseekoose,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn367.html"">ACP Community Profile</a>]]>",51.719,-101.949
Kinistin Saulteaux Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn377.html"">ACP Community Profile</a>]]>",52.599,-104.227
Lac La Ronge,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn353.html"">ACP Community Profile</a>]]>",55.421,-104.534
Little Black Bear,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn379.html"">ACP Community Profile</a>]]>",50.993,-103.378
Little Pine,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn340.html"">ACP Community Profile</a>]]>",52.922,-109.064
Lucky Man,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn341.html"">ACP Community Profile</a>]]>",52.999,-107.237
Makwa Sahgaiehcan First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn396.html"">ACP Community Profile</a>]]>",54.003,-109.317
Mistawasis,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn374.html"">ACP Community Profile</a>]]>",53.157,-106.795
Montreal Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn354.html"">ACP Community Profile</a>]]>",54.057,-105.811
Moosomin,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn342.html"">ACP Community Profile</a>]]>",53.114,-108.239
"Mosquito, Grizzly Bear&apos;s Head, Lean Man Fst.Natns.","<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn343.html"">ACP Community Profile</a>]]>",52.506,-108.276
Muscowpetung,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn381.html"">ACP Community Profile</a>]]>",50.761,-104.241
Muskeg Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn375.html"">ACP Community Profile</a>]]>",52.979,-106.901
