name,description,latitude,longitude
Carcross/Tagish First Nations,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn491.html"">ACP Community Profile</a>]]>",60.1737,-134.7037
Champagne,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn493.html"">ACP Community Profile</a>]]>",60.7918,-136.4781
Champagne and Aishihik First Nations,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn507.html"">ACP Community Profile</a>]]>",60.7551,-137.5071
Dease River,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn504.html"">ACP Community Profile</a>]]>",59.191,-129.231
First Nation of Nacho Nyak Dun,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn495.html"">ACP Community Profile</a>]]>",63.5954,-135.8808
Kluane First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn503.html"">ACP Community Profile</a>]]>",61.3437,-138.9855
Kwanlin Dun First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn500.html"">ACP Community Profile</a>]]>",60.7288,-135.0831
Liard First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn502.html"">ACP Community Profile</a>]]>",60.1331,-128.8353
Little Salmon/Carmacks First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn492.html"">ACP Community Profile</a>]]>",62.0894,-136.2799
Ross River,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn497.html"">ACP Community Profile</a>]]>",61.9924,-132.4113
Selkirk First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn498.html"">ACP Community Profile</a>]]>",62.8329,-136.5652
Ta&apos;an Kwach&apos;an,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn508.html"">ACP Community Profile</a>]]>",60.9735,-135.1292
Taku River Tlingit,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn501.html"">ACP Community Profile</a>]]>",59.489,-133.644
Teslin Tlingit Council,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn499.html"">ACP Community Profile</a>]]>",60.1713,-132.7445
Tr&apos;ondk Hwch&apos;in,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn494.html"">ACP Community Profile</a>]]>",64.0968,-139.4183
Vuntut Gwitchin First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn496.html"">ACP Community Profile</a>]]>",67.5764,-139.8239
White River First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn506.html"">ACP Community Profile</a>]]>",62.3682,-140.8593
