id,member_of_parliament_id,name,number,location,hectares,latitude,longitude,connectivity_url,statcan_url,detail_url
132,5,ANTKO 21,9203,"APPROX 2 KM SE OF THE TOWN OF MERRITT, B.C. AND LIES         IMMEDIATELY SOUTH OF AND ADJACENT TO JOEYASKA NO. 2",14.2,50.08391771,-120.7610709,,,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=09203&lang=eng
389,5,CHAPPERON CREEK 6,7253,"KAMLOOPS DISTRICT, ON CHAPPERON CREEK, 1/4 MILE EAST OF      CHAPPERON LAKE S. OF AND ADJOINING LOT 430",6.1,50.20001688,-120.0502356,,,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=07253&lang=eng
390,5,CHAPPERON LAKE 5,7252,"KAMLOOPS DIST. ON WEST SHORE OF CHAPPERON LAKE, 10 MILES     NORTHEAST OF DOUGLAS LAKE",293.4,50.21791472,-120.0701356,,,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=07252&lang=eng
502,5,COLDWATER 1,7197,"YALE DISTRICT, ON THE COLDWATER RIVER, 6 MILES SOUTHWEST OF  MERRITT",1837.5,50.035,-120.854,http://www.aboriginalcanada.gc.ca//abdt/apps/connectivitysurvey.nsf/vAllCProfile_en/1345.html,http://www12.statcan.ca/census-recensement/2006/dp-pd/prof/92-591/details/Page.cfm?Lang=E&Geo1=CSD&Code1=5933801&Geo2=PR&Code2=59&Data=Count&SearchText=British%20Columbia&SearchType=Begins&SearchPR=59&B1=All&Custom=,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=07197&lang=eng
604,5,DOUGLAS LAKE 3,7250,"KAMLOOPS DISTRICT, IN TPS. 96, ON DOUGLAS LAKE AND BANKS OF  THE NICOLA RIVER",9327,50.163,-120.188,http://www.aboriginalcanada.gc.ca//abdt/apps/connectivitysurvey.nsf/vAllCProfile_en/1398.html,http://www12.statcan.ca/census-recensement/2006/dp-pd/prof/92-591/details/Page.cfm?Lang=E&Geo1=CSD&Code1=5933802&Geo2=PR&Code2=59&Data=Count&SearchText=British%20Columbia&SearchType=Begins&SearchPR=59&B1=All&Custom=,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=07250&lang=eng
836,5,GWEN LAKE 3,7198,"KAMLOOPS DISTRICT, NORTHWEST OF GWEN LAKE, 7 MILES SOUTH     OF MERRITT",17.2,50.01010087,-120.7668167,,,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=07198&lang=eng
851,5,HAMILTON CREEK 2,7249,"KJAMLOOPS DIST., IN TP.97, SOUTHEAST SHORE OF NICOLA LAKE,   AT MOUTH OF QUILCHENA CREEK",24.3,50.16089866,-120.5161056,,http://www12.statcan.ca/census-recensement/2006/dp-pd/prof/92-591/details/Page.cfm?Lang=E&Geo1=CSD&Code1=5933803&Geo2=PR&Code2=59&Data=Count&SearchText=British%20Columbia&SearchType=Begins&SearchPR=59&B1=All&Custom=,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=07249&lang=eng
852,5,HAMILTON CREEK 7,7229,"KAMLOOPS DIST., ON QUILCHENA CREEK, 6 MILES FROM MOUTH       OF NICOLA LAKE",1780.7,50.07299668,-120.5348883,,http://www12.statcan.ca/census-recensement/2006/dp-pd/prof/92-591/details/Page.cfm?Lang=E&Geo1=CSD&Code1=5933804&Geo2=PR&Code2=59&Data=Count&SearchText=British%20Columbia&SearchType=Begins&SearchPR=59&B1=All&Custom=,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=07229&lang=eng
968,5,JOEYASKA 2,7224,"KAMLOOPS DISTRICT IN SEC 11 TWP 91, ON GODEY CREEK 3MILES SOUTHEAST OF MERRIT",129.5,50.09240085,-120.7568586,,http://www12.statcan.ca/census-recensement/2006/dp-pd/prof/92-591/details/Page.cfm?Lang=E&Geo1=CSD&Code1=5933805&Geo2=PR&Code2=59&Data=Count&SearchText=British%20Columbia&SearchType=Begins&SearchPR=59&B1=All&Custom=,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=07224&lang=eng
1077,5,KEREMEOS FORKS 12 & 12A,7406,"SIMILKAMEEEN DISTRICT, ON KEREMEOS CREEK AT MOUTH OF MARSET CREEK, 7 MILES NORTH OF KEREMEOS",954.1,49.3166574,-119.8188509,,,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=07406&lang=eng
1322,5,LOGAN'S 6,7228,KAMLOOPS DISTRICT ON QUILCHENA CREEK FLOWING INTO NICOLA     LAKE,18.2,49.99119193,-120.5634705,,,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=07228&lang=eng
1713,5,NICOLA LAKE 1,7248,"KAMLOOPS DISTRICT IN TPS 96 & 97, ON EAST SHORE OF NICOLA    LAKE AT MOUTH OF THE NICOLA RIVER",1092.3,50.20878713,-120.461164,,http://www12.statcan.ca/census-recensement/2006/dp-pd/prof/92-591/details/Page.cfm?Lang=E&Geo1=CSD&Code1=5933806&Geo2=PR&Code2=59&Data=Count&SearchText=British%20Columbia&SearchType=Begins&SearchPR=59&B1=All&Custom=,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=07248&lang=eng
1714,5,NICOLA MAMEET 1,7223,KAMLOOPS DIST ON THE BANKS OF GUICHON CREEK AND THE NICOLA   RIVER NEAR THEIR JUNCTION 3 MILES NORTHWEST OF MERRITT,4586.6,50.182,-120.844,http://www.aboriginalcanada.gc.ca//abdt/apps/connectivitysurvey.nsf/vAllCProfile_en/1371.html,http://www12.statcan.ca/census-recensement/2006/dp-pd/prof/92-591/details/Page.cfm?Lang=E&Geo1=CSD&Code1=5933807&Geo2=PR&Code2=59&Data=Count&SearchText=British%20Columbia&SearchType=Begins&SearchPR=59&B1=All&Custom=,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=07223&lang=eng
1728,5,NOOAITCH 10,7260,"KAMLOOPS DISTRICT, ALL SECTION W.6M, ON THE NICOLA RIVER,    6 MILES WEST OF CANFORD C.P. STATION",903.1,50.198,-121.075,http://www.aboriginalcanada.gc.ca//abdt/apps/connectivitysurvey.nsf/vAllCProfile_en/1408.html,http://www12.statcan.ca/census-recensement/2006/dp-pd/prof/92-591/details/Page.cfm?Lang=E&Geo1=CSD&Code1=5933808&Geo2=PR&Code2=59&Data=Count&SearchText=British%20Columbia&SearchType=Begins&SearchPR=59&B1=All&Custom=,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=07260&lang=eng
1729,5,NOOAITCH GRASS 9,7259,"KAMLOOPS DIST IN SECS 18,19&30, TP14,R22, SECS 13,14,23,24   25 TP24,R23,W.6M 2 MLS N OF CANFORD CP STATION",790.3,50.19098201,-121.0160125,,,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=07259&lang=eng
2120,5,PAUL'S BASIN 2,7199,"YALE DISTRICT, ON LEFT BANK OF THE COLDWATER RIVER, AT       MOUTH AND ALONG MIDDAY CREEK",645.9,49.98786495,-120.9623802,,http://www12.statcan.ca/census-recensement/2006/dp-pd/prof/92-591/details/Page.cfm?Lang=E&Geo1=CSD&Code1=5933809&Geo2=PR&Code2=59&Data=Count&SearchText=British%20Columbia&SearchType=Begins&SearchPR=59&B1=All&Custom=,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=07199&lang=eng
2157,5,PENTICTON 1,7397,OSOYOOS AND SIMILKAMEEN DISTRICTS AT THE SOUTH END OF        OKANAGAN LAKE,18539.8,49.468,-119.673,http://www.aboriginalcanada.gc.ca//abdt/apps/connectivitysurvey.nsf/vAllCProfile_en/1543.html,http://www12.statcan.ca/census-recensement/2006/dp-pd/prof/92-591/details/Page.cfm?Lang=E&Geo1=CSD&Code1=5907803&Geo2=PR&Code2=59&Data=Count&SearchText=British%20Columbia&SearchType=Begins&SearchPR=59&B1=All&Custom=,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=07397&lang=eng
2158,5,PENTICTON 2,7407,"SIMILKAMEEN DISTRICT, TWP 87, BTW OKANAGAN & DOG LAKES",13.1,49.48047996,-119.5570947,,,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=07407&lang=eng
2159,5,PENTICTON 3A,7398,"OSOYOOS DISTRICT, LOT 3317, GROUP 1 WEST OF AND ADJOINING    I.R. NO. 1, 5 MILES SOUTHWEST OF SUMMERLAND",145.7,49.57002898,-119.763731,,,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=07398&lang=eng
2387,5,SALMON LAKE 7,7254,"KAMLOOPS DISTRICT, IN LEFT BANK OF THE SALMON RIVER, AT      OUTLET OF SALMON LAKE, EAST OF ADJOINING LOT 737",69.6,50.27859739,-119.9927021,,,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=07254&lang=eng
2663,5,SPAHOMIN CREEK 4,7251,"KAMLOOPS DISTRICT, ONSPAHOMIN CREEK, 6 MILES SOUTH OF        DOUGLAS LAKE, SOUTH OF AND ADJOINING I.R. NO. 8",129.5,50.07546212,-120.2020374,,,http://pse5-esd5.ainc-inac.gc.ca/fnp/Main/Search/RVDetail.aspx?RESERVE_NUMBER=07251&lang=eng
